iter	Passed	Remaining
311	24333	14662
312	24393	14574
313	24451	14484
314	24518	14399
315	24586	14316
316	24656	14233
317	24720	14148
318	24784	14062
319	24839	13971
320	24902	13886
321	24976	13806
322	25041	13722
323	25105	13637
324	25164	13550
325	25232	13467
326	25300	13385
327	25361	13299
328	25428	13216
329	25491	13132
330	25552	13046
331	25614	12961
332	25673	12875
333	25734	12790
334	25797	12706
335	25852	12618
336	25917	12535
337	25983	12453
338	26044	12369
339	26108	12286
340	26171	12203
341	26234	12119
342	26298	12037
343	26370	11958
344	26429	11874
345	26485	11788
346	26553	11707
347	26618	11626
348	26690	11547
349	26756	11467
350	26813	11382
351	26879	11301
352	26945	11220
353	27025	11146
354	27101	11069
355	27170	10990
356	27240	10911
357	27315	10834
358	27395	10759
359	27472	10683
360	27549	10607
361	27627	10532
362	27701	10454
363	27774	10377
364	27841	10297
365	27921	10222
366	27999	10146
367	28071	10069
368	28145	9991
369	28213	9912
370	28276	9832
371	28352	9755
372	28417	9675
373	28493	9599
374	28572	9524
375	28647	9447
376	28717	9369
377	28786	9290
378	28854	9212
379	28917	9131
380	28985	9053
381	29060	8976
382	29136	8900
383	29213	8824
384	29287	8748
385	29359	8670
386	29426	8592
387	29508	8517
388	29587	8442
389	29655	8364
390	29737	8290
391	29812	8213
392	29880	8135
393	29957	8059
394	30033	7983
395	30108	7907
396	30192	7833
397	30272	7758
398	30350	7682
399	30423	7605
400	30499	7529
401	30588	7456
402	30664	7380
403	30745	7305
404	30815	7228
405	30889	7151
406	30966	7075
407	31045	7000
408	31130	6926
409	31207	6850
410	31292	6776
411	31376	6701
412	31458	6626
413	31535	6550
414	31617	6475
415	31688	6398
416	31778	6325
417	31864	6250
418	31943	6175
419	32024	6099
420	32109	6025
421	32196	5950
422	32280	5876
423	32351	5798
424	32430	5723
425	32511	5647
426	32590	5571
427	32661	5494
428	32731	5417
429	32805	5340
430	32886	5264
431	32971	5189
432	33050	5114
433	33124	5037
434	33201	4961
435	33273	4884
436	33345	4807
437	33425	4731
438	33499	4654
439	33573	4578
440	33648	4501
441	33730	4426
442	33800	4349
443	33871	4272
444	33955	4196
445	34034	4120
446	34099	4043
447	34167	3965
448	34235	3888
449	34283	3809
450	34343	3731
451	34404	3653
452	34471	3576
453	34531	3498
454	34598	3421
455	34662	3344
456	34726	3267
457	34780	3189
458	34840	3112
459	34906	3035
460	34976	2958
461	35055	2883
462	35127	2807
463	35196	2730
464	35266	2654
465	35336	2578
466	35407	2501
467	35485	2426
468	35558	2350
469	35622	2273
470	35689	2197
471	35758	2121
472	35813	2044
473	35873	1967
474	35931	1891
475	35997	1815
476	36070	1739
477	36130	1662
478	36194	1586
479	36268	1511
480	36330	1435
481	36390	1358
482	36452	1282
483	36522	1207
484	36593	1131
485	36649	1055
486	36707	979
487	36767	904
488	36826	828
489	36888	752
490	36952	677
491	37012	601
492	37079	526
493	37144	451
494	37215	375
495	37287	300
496	37350	225
497	37412	150
498	37480	75
499	37543	0
