iter	Logloss
386	0.2480084956
387	0.2479957088
388	0.247980823
389	0.2479727018
390	0.2479589797
391	0.2479416719
392	0.2479390265
393	0.2479207593
394	0.2479191709
395	0.2479146372
396	0.2479017394
397	0.2478923816
398	0.2478716362
399	0.2478599976
400	0.2478465007
401	0.247837062
402	0.2478217004
403	0.2478123847
404	0.2478044013
405	0.2477974449
406	0.2477920301
407	0.2477791554
408	0.247769577
409	0.2477670189
410	0.2477589213
411	0.2477528604
412	0.2477484976
413	0.2477408873
414	0.2477316581
415	0.2477297154
416	0.2477195972
417	0.2477094184
418	0.2477040956
419	0.2476979272
420	0.2476842852
421	0.2476684927
422	0.2476623021
423	0.2476594878
424	0.2476531335
425	0.2476468312
426	0.2476372
427	0.2476214709
428	0.2476185182
429	0.2476067645
430	0.2475958273
431	0.2475709862
432	0.2475624046
433	0.2475532187
434	0.2475423348
435	0.2475415255
436	0.2475338754
437	0.2475194087
438	0.2475125474
439	0.2475058515
440	0.247497221
441	0.2474879337
442	0.2474790658
443	0.2474736015
444	0.2474609888
445	0.247445087
446	0.2474450888
447	0.247433834
448	0.2474245276
449	0.247424491
450	0.2474240411
451	0.247419566
452	0.247415094
453	0.2474105372
454	0.247407937
455	0.247407074
456	0.2474035917
457	0.2474033057
458	0.2473966497
459	0.2473858571
460	0.2473809144
461	0.2473701054
462	0.247364324
463	0.2473616619
464	0.2473487895
465	0.2473421381
466	0.2473317039
467	0.2473200869
468	0.247314156
469	0.2472941039
470	0.2472818572
471	0.2472731945
472	0.247269492
473	0.2472677223
474	0.2472667008
475	0.2472563312
476	0.2472435908
477	0.2472411026
478	0.2472308354
479	0.247219375
480	0.2472144339
481	0.2472122404
482	0.2472067559
483	0.2471930031
484	0.2471799682
485	0.2471790192
486	0.2471724325
487	0.2471624414
488	0.2471608962
489	0.2471564486
490	0.2471451487
491	0.2471384822
492	0.2471271201
493	0.2471185553
494	0.2471039637
495	0.2470929701
496	0.2470765305
497	0.2470676885
498	0.2470569975
499	0.247053275
